nome,idade,time,posicao,partidas,minutos,gols,assistencias,chutes,passes_chave,dribles,faltas_sofridas,impedimentos,desarmes_sofridos,dominios_errados,desarmes,interceptacoes,faltas_cometidas,impedimentos_ganhos,afastadas_perigo,dribles_sofridos,Blocks,gols_contra,passes,perc_passes,cruzamentos,bolas_longas,enfiadas,nota
Víctor Cuesta,33,Internacional,D(C),34(1),3091,-,5,0.5,0.5,0.5,0.5,-,0.1,0.5,1.3,1.4,1.4,0.3,2.7,0.4,0.3,-,48.9,82.8,0.3,3.3,-,6.81
Patrick,29,Internacional,M(CL),32(2),2503,3,4,1.1,0.9,1.8,2.0,0.1,1.8,2.6,1.9,0.5,1.3,-,0.4,1.4,0.2,-,28.7,81.3,0.3,0.4,0.1,6.81
Rodrigo Muniz,20,Flamengo,FW,3(6),348,3,1,2.4,0.6,0.2,0.4,0.2,0.1,1.4,0.3,-,1.2,-,0.4,0.2,-,-,5.3,81.3,-,0.1,-,6.81
Dani Alves,38,Sao Paulo,"D(R),M(CR)",5(1),495,-,-,0.5,1.5,0.5,0.8,0.2,0.5,1.2,1.7,0.8,2,-,1.2,1.2,0.3,-,53.0,85.8,1.7,1.0,-,6.81
Gabriel Menino,21,Palmeiras,"D(R),M(CR)",11(7),1110,2,1,0.9,1.1,0.8,1.4,0.1,0.4,1,1.3,1.2,1.1,0.1,0.5,0.9,0.2,-,29.2,83.8,0.8,2.5,-,6.81
Thiago Heleno,33,Athletico Paranaense,D(C),28,2493,1,-,0.7,0.1,-,0.8,-,-,0.2,0.7,1.8,0.7,0.4,3.5,0.3,1,-,57.8,86.2,-,7.5,-,6.8
Lucas Silva,29,Gremio,DMC,20(5),1713,2,2,0.8,1,1,1.0,-,0.6,0.8,1.4,0.8,1.2,-,0.5,0.7,0.2,-,42.0,87.1,-,3.2,-,6.8
Walter,34,Cuiaba,GK,34,3060,-,-,-,-,0.1,0.1,-,-,-,-,-,-,-,0.9,-,-,-,25.7,72.5,-,6.6,-,6.8
Klaus,28,Ceara,D(C),4,360,-,-,1.3,0.5,0.3,0.5,0.3,-,0.5,1,2,0.8,-,4.0,0.5,0.3,-,51.8,88.4,-,3.5,-,6.8
Pepê,24,Cuiaba,M(C),33(1),2601,3,2,1.5,1.1,1.1,2.2,-,1.1,1.9,1.9,0.6,2.2,-,0.6,1.1,0.1,-,35.3,85.2,0.4,3.1,0.1,6.8
Felipe Jonatan,24,Santos FC,"D(L),M(CL)",30(3),2567,-,-,0.9,1,0.9,0.9,-,0.7,1.1,1.5,1.6,0.8,0.2,1.6,0.6,0.2,-,36.6,81.4,0.7,1.3,-,6.79
David Braz,34,Fluminense,D(C),16(2),1442,2,-,0.7,0.1,0.4,0.4,0.1,-,0.1,0.4,0.9,0.5,0.3,3.2,0.4,0.7,-,49.0,87.0,-,2.4,-,6.79
Gilberto,32,Bahia,FW,29(7),2563,15,2,2.3,0.7,0.5,1.2,0.3,0.5,1.4,0.3,0.2,1.3,-,0.8,0.6,0.1,-,14.6,74.5,0.1,0.3,-,6.79
